# ID RA(J2000) DEC(J2000) Z E_Z
         735   19.0436452   33.3410816  0.13416333  0.00026333
         736   19.1141551   33.2210467  0.13426666  0.00021667
          25   19.1141499   33.2232674  0.05835333  0.00017333
         111   19.2363333   33.3781111 -0.00057670  0.00000905
         476   18.9386210   33.4817461  0.10976667  0.00042333
        1417   18.9190179   33.3973762  0.07904334  0.00020000
         280   19.2555417   33.5540556 -0.00065448  0.00003555
         747   18.9277216   33.4937510  0.08462667  0.00030333
         154   19.1724972   33.2786160  0.06453333  0.00017333
         481   19.2821907   33.4469454  0.11200000  0.00018333
         368   19.1555417   33.4741389 -0.00059004  0.00002166
        1492   19.1312917   33.3778056 -0.00066489  0.00001322
        1212   19.2812083   33.4636389 -0.00061726  0.00001353
         959   19.1011513   33.3986332  0.06164000  0.00060667
         190   19.1755703   33.2259860  0.10961334  0.00030333
         820   18.9672249   33.6270993  0.11439000  0.00018333
        1187   19.1118750   33.5008056 -0.00064887  0.00001079
         421   19.2676835   33.4558896  0.08453666  0.00010333
        1538   18.9679657   33.4294322  0.07330000  0.00017333
         264   19.0718750   33.4629167 -0.00076646  0.00003628
        1434   18.9400338   33.5443375  0.12264334  0.00021667
        1182   18.9488750   33.4607500 -0.00062057  0.00002352
         152   19.0886250   33.4918333 -0.00068843  0.00001905
         724   19.0719583   33.3006389 -0.00057709  0.00001253
         343   19.1443702   33.5170879  0.10800000  0.00017333
         463   19.1337364   33.2751854  0.08750000  0.00017333
         467   19.0182917   33.5028889 -0.00064697  0.00002428
        1624   19.2324504   33.3170173  0.10360000  0.00017333
        1122   19.0657268   33.4632978  0.11218667  0.00021667
        1101   19.2518750   33.4402778 -0.00063531  0.00001858
         812   19.1895055   33.3792191  0.17603999  0.00024000
        1231   19.2469015   33.4645364  0.17315666  0.00021667
         864   19.2023881   33.4700456  0.05168333  0.00023000
        1004   19.2110685   33.5958884  0.09596667  0.00014333
         696   19.0940901   33.4038387  0.06709334  0.00017667
         156   19.0305856   33.2846777  0.10458667  0.00021333
         378   18.9456054   33.6595973  0.11132333  0.00018667
          39   19.1712820   33.6239791  0.05990667  0.00021333
         914   18.9566441   33.4444825  0.06428000  0.00009667
         104   19.2072875   33.5517186  0.06606667  0.00027667
        1622   19.0813790   33.2354050  0.17126666  0.00020000
         642   19.1413750   33.5009167 -0.00069710  0.00001986
        1140   19.2724167   33.4799167 -0.00065670  0.00001913
        1224   19.0261911   33.4748054  0.17060000  0.00021667
           7   19.2877075   33.3695534  0.09060000  0.00017333
         691   19.0185282   33.4706670  0.12701000  0.00020333
        1037   19.0582917   33.5418056 -0.00069421  0.00003290
         969   19.0712500   33.2988889 -0.00065047  0.00001768
         778   19.3235781   33.6172698  0.08947334  0.00013333
         912   19.0305417   33.2153889 -0.00061134  0.00003182
         991   19.2047917   33.5553889 -0.00066154  0.00003116
          73   19.1569583   33.4594167 -0.00066009  0.00001548
         125   19.2166254   33.2843743  0.05445667  0.00018333
        1259   19.1692141   33.6412601  0.02828333  0.00015667
         417   19.1520269   33.4505848  0.02460000  0.00013000
        1406   19.1342239   33.5923800  0.10431000  0.00021667
         398   19.0280000   33.3923889 -0.00062828  0.00003673
         320   19.2003333   33.4919444 -0.00060416  0.00000902
         733   19.3111231   33.2964478  0.09326667  0.00022000
        1333   19.2740417   33.4920556 -0.00066593  0.00001128
         151   19.0005343   33.6143930  0.13675000  0.00020333
         832   19.1506197   33.5668975  0.06046667  0.00013000
        1536   19.2029549   33.5531402  0.10924000  0.00016000
         390   19.1754018   33.2863423  0.13172001  0.00020667
         553   19.0767917   33.4675000 -0.00062653  0.00002745
         636   18.9854167   33.4803611 -0.00071456  0.00001078
         414   19.1052614   33.2255108  0.04074667  0.00035000
        1244   19.2258652   33.3885445  0.21146999  0.00032667
        1067   19.1749495   33.6595308  0.13157333  0.00013333
        1102   19.0658750   33.4395278 -0.00061914  0.00001544
          97   18.9045657   33.3238419  0.08933333  0.00014000
        1334   19.1392500   33.4890000 -0.00066887  0.00001093
        1478   19.1999733   33.3925749  0.16215333  0.00030000
         500   18.9295043   33.4306300  0.05253333  0.00017333
        1564   19.2587500   33.5068611 -0.00070315  0.00001891
        1076   19.0690414   33.6209545  0.05555667  0.00045667
         789   18.9682507   33.6110886  0.12809999  0.00021667
          58   19.0704583   33.3658056 -0.00067507  0.00004360
         722   19.1207934   33.5098658  0.16499667  0.00021667
         652   19.0660523   33.3002273  0.06264333  0.00028667
         758   19.1305644   33.3581348  0.18754667  0.00022000
         539   19.0071551   33.5555532  0.06985667  0.00022667
         785   18.9394583   33.3986111 -0.00060276  0.00000912
        1170   19.1155839   33.4794961  0.20162000  0.00031667
         926   19.1801102   33.3603298  0.20020667  0.00025000
        1584   18.9695000   33.3633889 -0.00070911  0.00004397
        1358   19.0517566   33.5719840  0.06408667  0.00015333
        1461   19.1885544   33.4513374  0.05912333  0.00010000
         738   19.1218230   33.3831760  0.17580000  0.00039000
        1191   18.9889167   33.3818056 -0.00060618  0.00003754
         995   19.0780609   33.3916655  0.11218000  0.00022667
         388   19.0742083   33.4355000 -0.00064030  0.00002138
        1520   19.2146689   33.6104417  0.18976000  0.00023333
         701   18.9259289   33.4831597  0.13648666  0.00019000
        1438   19.2402404   33.5215758  0.08316000  0.00012667
        1060   19.2404131   33.2053754  0.06862666  0.00014000
         800   19.1685282   33.3597546  0.08405667  0.00007000
         333   18.9596296   33.5185209  0.07945000  0.00014667
        1499   19.2053333   33.3770278 -0.00057699  0.00000985
         311   18.9583333   33.3733333 -0.00063189  0.00003982
         496   19.1465971   33.4156220  0.14745334  0.00029000
        1025   19.2566058   33.3336582  0.07136667  0.00021667
        1146   19.1878161   33.2638668  0.05736000  0.00023000
        1524   19.2495000   33.4075833 -0.00061166  0.00004019
         597   18.9339167   33.3525833 -0.00065202  0.00001031
        1032   18.9725833   33.4106667 -0.00068309  0.00002314
         143   19.1278750   33.4920833 -0.00067889  0.00001289
